,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,Tooth,Specimen,Family,Species,Diet,Killing,Sharpness.pair,PC1A,PC1Diff,PC2A,PC2Diff
AM38584Lynx.rufusUpperLeft,-0.060247305,-0.03330041,0.006455296,-0.02067948,-0.015893138,0.011671956,0.003784688,0.012850586,0.002979011,-0.011263206,0.003577639,-0.006010854,-0.003587501,-0.004627898,-0.000856899,0.010150509,0.009012581,-0.002234104,-0.002279929,0.004850934,-0.002321146,-0.00163846,0.001541758,0.003233036,0.003643439,-0.002241768,0.001017227,-0.000861671,-0.002047338,-0.000402638,-0.0008875,-0.000458294,-0.000329548,0.000887285,-0.000497362,0.001534362,-0.000231343,-0.000966992,0.000472672,0.000260022,0.000754387,-0.000297244,-5.94E-05,0.000385467,0.000543621,0.000399125,-0.000409486,-0.00029914,0.000122555,-0.000123937,Upper,AM38584,Felidae,Lynx.rufus,Meat,Nape.throat,Y,-0.045096185,-0.01515112,0.032913754,-0.066214164
NMVC32245Martes.americanaUpperLeft,-0.07970653,-0.043198863,-0.021780413,-0.024213721,0.0040111,-0.003600818,0.016033124,0.008073697,-0.003694256,0.003777501,-0.002797873,0.00515923,-0.000797084,0.006646459,0.009475124,-0.004164546,-0.005335395,0.00394903,-0.000101713,-0.002414675,-0.003812721,0.00059823,-0.001073647,-0.002447476,-0.000624901,0.002579317,0.00088809,0.000735401,8.45E-05,0.001296125,-0.000225515,-0.001626714,0.000185272,-0.000602467,-0.000170974,-0.0002981,0.000249541,0.000839064,-0.000424836,0.000715712,-0.000294808,-9.99E-05,0.000582087,0.000548992,-0.000524377,-0.000232186,-0.000408575,-0.000149575,0.00028344,0.00018996,Upper,NMVC32245,Mustelidae,Martes.americana,Meat,Head.bite,Y,-0.004358564,-0.075347966,0.04529979,-0.088498653
NMNH242868Martes.pennantiUpperRight,-0.057887565,-0.001449215,-0.003079414,0.000537393,-0.000591786,0.000928075,0.003455138,5.81E-05,0.003728103,0.008785936,-0.001376355,0.011368905,-0.000746044,-0.000171617,0.001610702,-0.001025407,0.001198403,-0.000946536,-0.001364517,0.001725284,0.001707682,-0.004390931,-2.86E-05,-0.000824266,-0.000991999,0.000327703,3.62E-06,0.000165248,-0.000797753,0.001092178,0.000138927,-0.00039401,0.000193487,0.000126857,4.03E-05,-0.000342135,-0.000103031,6.07E-05,-0.000112387,-0.000208951,2.02E-05,-0.000160473,0.000266246,-9.38E-05,0.000107478,-9.80E-05,0.00040695,0.00023839,-0.000143503,-0.000192268,Upper,NMNH242868,Mustelidae,Martes.pennanti,Meat,Head.bite,Y,0.007995006,-0.065882571,0.037220897,-0.038670112
NMNH171964Meles.melesUpperLeft,0.036304374,-0.084888974,0.039419365,0.062608982,0.002730085,-0.04555723,0.000552131,-0.001213001,-0.000803781,-0.009219608,-0.004153417,-0.013992206,0.004011807,0.009139887,-0.002379266,0.000594489,0.006533711,-0.006188138,-0.00667736,-0.000297104,-0.004529861,-0.000348438,-0.001793186,-0.000695888,0.002754777,-0.001121694,0.001995613,0.001338423,0.001849011,-0.000627966,0.00104841,-2.68E-05,-0.001636442,0.001399376,-0.000249966,0.000266739,0.000853136,0.00010548,0.001198295,-0.000623391,-0.001314766,-2.76E-05,0.001355435,0.000221655,-0.000682742,-0.000122371,0.000964994,-0.000718343,-0.00024547,0.000343606,Upper,NMNH171964,Mustelidae,Meles.meles,Plant,Rarely,Y,0.137840425,-0.101536051,-0.065938675,-0.018950298
MZRC981Mephitis.mephitisUpperLeft,-0.068321325,-0.043830992,0.02152201,-0.004521001,-0.001249568,-0.008409355,0.006614415,0.006825742,-0.011381609,-0.003282646,0.01071705,-0.010354218,-0.000365781,-0.008648923,-0.002994441,0.005959378,-0.000466346,0.003407935,-0.004032171,-0.00173416,0.002592281,-0.002004898,-0.001243949,-0.00022179,-0.002474395,0.000722515,-0.000403077,0.00109268,-0.001865948,0.000311313,-0.001396422,-0.000773084,0.000787547,0.001692713,0.000257076,-0.000295875,-0.000147513,-0.000451858,0.000226695,-9.69E-05,-0.000462301,0.000750202,0.000201493,0.000496942,0.00080835,-0.000483185,0.000521638,0.000281529,0.000153333,0.000218412,Upper,MZRC981,Mephitidae,Mephitis.mephitis,Generalist,Head.bite,Y,0.003375214,-0.071696538,0.023606611,-0.067437603
MZRC957Panthera.pardusUpperRight,-0.072638116,-0.015785239,0.034569893,-0.01530199,-0.018990043,0.020583361,-0.010968062,-0.006063574,0.000497911,0.006544982,-0.003250967,-0.000199725,0.006875661,0.004490922,0.002877962,0.000622954,-0.002857535,-0.000385073,0.002951031,-0.001771406,0.001425518,0.003044408,-5.66E-05,0.002781755,0.000512991,0.000708603,-6.64E-05,0.002469386,-0.000928253,0.000365394,-0.001036871,0.000336339,-0.001665054,0.000469327,-0.000342619,0.000101488,-5.99E-05,0.000345259,-0.000534315,0.00029459,-0.001090816,-6.10E-05,0.000381155,-0.000123355,0.000301527,0.000180561,0.00067083,-6.11E-05,-0.000628683,-0.000362242,Upper,MZRC957,Felidae,Panthera.pardus,Meat.bone,Nape.throat,Y,-0.005272988,-0.067365128,0.043928895,-0.059714135
NMNH258332Paradoxurus.hermaphroditusUpperLeft,-0.010779738,-0.004841496,0.034306386,0.029461662,-0.007397625,0.011187571,0.010802543,0.006827184,0.005767711,0.011613787,-0.003211432,0.002385078,-0.00319836,-0.001604282,0.007701469,0.003367841,0.008713143,0.002377988,0.004200064,-0.005230234,-0.000111142,0.002348421,0.001264852,-0.002755683,-0.001726126,0.001257462,-0.000897907,3.53E-05,0.000712434,0.000400855,-0.001301975,0.000291976,0.00099362,0.000581784,0.00057016,0.000582734,-1.63E-05,0.000475341,4.09E-05,0.000345777,-0.000278392,0.000455266,0.000187439,0.000390823,2.04E-06,-0.000151755,-5.87E-06,-1.77E-05,-0.000180164,-0.00046311,Upper,NMNH258332,Viverridae,Paradoxurus.hermaphroditus,Unknown,Unknown,Y,0.02260394,-0.033383678,-0.000909914,-0.003931582
AM38590Pardofelis.marmorataUpperRight,-0.024180124,-0.009154707,0.042811877,-0.010261052,-0.004535872,0.008334214,0.001140223,0.001815401,-0.005721313,-0.002008158,0.012894082,-0.002370401,0.005370992,-0.002456842,0.004411881,-0.003942616,0.000949898,-0.000604025,-0.003694074,-0.000884772,-0.004339951,-0.000993381,-0.000739674,0.001438842,-0.001486433,0.000440996,-0.000806819,-0.000255933,-0.000867802,-0.000630152,-0.00014654,-7.01E-05,-9.21E-05,-0.000438316,0.000615041,-0.000549293,0.000415679,-0.000254727,0.000569954,-0.000247245,0.000539315,0.00018757,-0.000439399,0.000242624,-0.000694002,0.000513406,-0.000285148,-9.27E-05,-7.72E-05,0.000225377,Upper,AM38590,Felidae,Pardofelis.marmorata,Meat,Nape.throat,Y,0.008895348,-0.033075472,0.043880261,-0.053034968
NMNH443521Procyon.cancrivorosUpperLeft,0.063692129,-0.039132447,0.045790481,-0.011936071,-0.019325544,-0.010200095,-0.007339214,0.01486888,0.001948665,0.001486863,0.019573373,-0.014299953,-0.014090872,-0.004503101,-0.002533843,-0.001827977,-0.011505874,0.006765298,0.000828979,-0.00500462,0.002640853,-0.001530005,0.006462684,-0.001220963,-0.003382437,-0.000231002,0.000333508,0.000220487,0.000683196,-0.00034093,0.00180163,0.002300988,-0.00112115,0.000212783,-0.001600248,-6.70E-05,-0.001270434,-0.001051128,-0.001707048,-9.69E-05,-8.29E-05,-0.000517308,-0.000216529,0.000908182,-0.000156474,-0.000392447,0.000332064,-0.000794598,0.000457504,-0.000481565,Upper,NMNH443521,Procyonidae,Procyon.cancrivorous,Invert.aquatic,Unknown,Y,0.077164946,-0.013472817,-0.019290276,-0.019842172
MZRC4337Procyon.lotorUpperLeft,-0.036372309,-0.082205574,-0.001420181,-0.029731521,0.00043005,0.006771343,0.008579297,0.010567192,0.005290918,-0.011256513,-0.011096935,-0.005052687,-0.001505119,-0.003530457,-0.00196466,-0.001497648,-0.003820552,-0.000588259,0.002402448,0.005359947,0.002359367,0.003231347,0.001620881,-0.004717498,0.000103817,-0.000899782,0.000534226,-0.001795266,0.000955082,-0.001134022,8.97E-05,0.001023328,-0.002715527,0.000671596,0.000332068,0.000429813,0.000746702,0.000127383,-0.000525514,0.000290179,0.000767213,-4.73E-05,-6.58E-05,-0.000549126,0.000205343,0.000286068,0.000154943,0.000464449,0.000444626,-0.000424687,Upper,MZRC4337,Procyonidae,Procyon.lotor,Generalist,Unknown,Y,0.025801572,-0.062173881,-0.004265125,-0.077940448
NMVC6232Sarcophilus.harrisiiUpperRight,0.073761412,-0.057315957,0.008207533,-0.049407647,0.029434133,0.019942291,0.001879531,0.004307749,-0.007641969,-0.003852895,-0.004960664,0.012834576,-0.004654223,-0.008082853,0.004344698,-0.004437537,0.00357736,-0.005115059,0.003898154,0.002370076,-0.002076005,-0.001556498,0.001765985,0.000915589,-0.000600062,-0.002947391,-0.002131866,-0.001002355,-0.000503029,-0.001159408,0.00254093,4.11E-05,-0.001191855,0.001738757,-0.000708507,0.000967411,0.001662377,0.000388147,-0.000608601,-0.000263577,0.000869823,0.000500219,0.000398206,0.000998696,0.00122599,-6.26E-06,-0.000168249,-6.75E-05,-6.03E-05,0.000486017,Upper,NMVC6232,Dasyuridae,Sarcophilus.harrisii,Carrion.bone,Invert.feeder,Y,0.073420723,0.000340689,0.035461107,-0.092777064
NMNH525882Taxidea.taxusUpperLeft,0.001048608,-0.06839273,0.003329738,0.02097637,-0.007292171,-0.003201243,0.001533897,-0.026023618,-0.019911952,-0.013699343,-0.007481601,-0.001169099,-0.00217989,0.003545448,-0.003881437,0.003230071,0.002735173,0.003119809,0.005758942,0.000163962,0.002657849,-0.00384851,-0.002440901,0.001038789,-0.000592901,-0.002944673,-0.000527312,0.000252634,5.70E-05,-0.000414066,-0.000488841,-0.001677076,-0.001056502,0.000462951,-0.001675132,-0.000130601,-0.000902508,0.001170023,-0.000908606,0.001019083,0.000745587,0.000277722,0.000533887,3.12E-05,-0.000999817,-0.000337469,-0.000741727,0.000149798,0.00012521,4.19E-05,Upper,NMNH525882,Mustelidae,Taxidea.taxus,Meat,Invert.feeder,Y,-0.019285129,0.020333737,-0.001852616,-0.066540114
NMVC5747Thylacinus.cynocephalusUpperLeft,-0.020455959,0.031803836,-0.01328366,0.004065646,0.005013701,-0.002236431,-0.018816813,-0.004651769,0.000425921,-0.002662132,-0.000274206,0.006056612,0.003945072,-0.000378256,-0.006166655,-0.002105129,-0.002541946,-9.56E-05,-0.00119157,-0.000875995,8.28E-05,0.002164568,0.00027946,0.00161466,0.000488917,0.000142207,0.000415218,0.000411736,-0.000577435,-0.000269094,-0.0015617,0.000476493,-0.001397472,0.00170291,0.000567348,3.85E-05,0.000178719,0.001296096,-0.000202357,-0.000229384,0.001103508,0.000627405,0.001384099,0.000134805,-2.72E-06,0.000154879,-0.00089308,0.000197209,-0.000496092,0.000103575,Upper,NMVC5747,Thylacinidae,Thylacinus.cynocephalus,Unknown,Unknown,Y,0.062114806,-0.082570765,0.018715063,0.013088774
NMNH209906Ursus.americanusUpperLeft,0.0029953,0.001676782,0.006484615,-0.012931333,-0.030036125,0.0038567,0.005618206,-0.005715131,0.004573639,0.009500465,-0.003808523,0.001451828,0.001300525,-0.011134903,-0.002874436,-0.006021667,-0.002843885,-0.003227299,-0.00438876,0.000832782,-0.002249145,-2.43E-05,0.003005634,-0.000502322,-0.000344179,0.001509214,-0.001627358,0.00115482,-0.001139879,0.001309558,-0.000731663,0.000116825,-0.000157269,0.000721739,-0.000659262,0.000413274,0.001040053,-0.000404058,0.00039643,0.000142611,0.000524686,-0.000526247,-0.000279102,-0.000107338,-0.000165432,0.000162317,-0.000280712,-2.74E-05,-0.00017144,0.000242979,Upper,NMNH209906,Ursidae,Ursus.americanus,Generalist,Unknown,Y,0.030309607,-0.027314307,0.002156788,-0.000480006
NMNH232398Ursus.arctosUpperRight,0.030619217,-0.028351622,-0.032843909,-0.009867374,-0.012726324,0.006807103,-0.008979106,-0.002739309,0.00338692,0.001780835,-0.005308605,0.010602769,0.002275801,0.008595627,-0.001456892,-0.002965267,0.000807266,0.000690293,0.001177296,0.001046694,0.001052974,0.004602451,0.000950388,-0.003618838,-0.000925254,-0.003115518,0.000952865,-0.001531164,0.000149087,-0.000685227,0.000920151,-0.00046069,-0.000334171,0.000125893,-0.000232669,-0.000101965,-0.000235179,-0.000640778,0.000357364,0.000271475,-7.61E-05,-0.000362501,-0.000193224,0.000320268,7.35E-05,-0.000252227,-2.53E-05,-0.000374748,-0.000129941,-9.04E-05,Upper,NMNH232398,Ursidae,Ursus.arctos,Generalist,Unknown,Y,0.089623306,-0.059004089,-0.010956311,-0.017395311
NMNH512148Ursus.maritimusUpperLeft,0.003886812,-0.003118316,-0.018692316,-0.017786579,-0.02986798,-0.001547178,-0.015302612,-0.003967483,0.004416512,-0.000136949,-0.001199964,0.003271921,0.014178584,0.004636006,-0.003778439,0.003263825,0.001951563,0.000214126,-0.000646653,0.00151114,0.000608807,-0.00131304,-0.00100304,-0.002210252,-0.000356479,-0.001284384,-0.000518038,0.000149118,0.0004089,0.000372528,-0.000910164,9.68E-05,-8.96E-05,0.000102079,-0.000120914,-0.000372614,0.000629833,-0.000448037,-0.000414346,0.000310421,-0.000313227,0.000163686,-0.000257149,-0.000627811,0.000539214,4.61E-05,-8.43E-06,-0.000215204,2.25E-05,5.68E-05,Upper,NMNH512148,Ursidae,Ursus.maritimus,Meat.bone,Unknown,Y,0.017547929,-0.013661116,0.029249375,-0.032367692
NMNH198706Viverra.tangalungaUpperLeft,-0.083007075,0.012722752,-0.002820217,-0.011567152,0.010168018,0.004431426,0.006623161,-0.007779375,-0.001997274,0.000528693,0.003359466,0.005904811,-0.000868932,-0.003122207,0.000991629,0.000207031,-0.00018128,0.000379944,0.001219734,0.001165626,-0.000822022,0.002070826,-0.001077904,0.001443247,0.000120075,0.001112276,0.000302127,-8.49E-05,0.000186859,0.000250197,0.000517227,-0.000730022,0.000797716,-0.000193476,-0.000139538,0.000548392,0.000426688,0.000141094,-6.10E-05,-0.000675349,-0.000187158,-0.000325076,7.37E-05,0.000359123,-6.87E-05,-0.000185562,-2.60E-05,-0.000309557,4.63E-05,-0.000342067,Upper,NMNH198706,Viverridae,Viverra.tangalunga,Generalist,Shake.toss,Y,0.002134648,-0.085141722,0.025738968,-0.013016216
AMNH57055Viverra.zibethaUpperLeft,-0.071116124,0.027989029,0.014871381,0.006494074,0.009686908,0.000303681,0.007975381,0.000399362,-0.00241251,0.003711266,0.006176505,0.003532796,0.002662056,0.001219588,-0.002722653,0.000274419,0.005218011,0.000573694,-0.000491648,0.001432988,-0.000820102,-0.000196078,0.000502526,0.000525218,0.000230146,-0.000771761,0.001357765,0.000220955,-0.000449433,0.000158682,8.25E-05,-0.000532572,0.000204833,5.56E-05,-0.000143526,0.000646821,0.000101005,0.000121087,-0.000108961,-0.000438773,3.52E-05,6.70E-05,-0.000476256,-0.000130361,-0.000773712,8.31E-05,-0.000265588,-4.02E-06,0.0001956,-7.33E-05,Upper,AMNH57055,Viverridae,Viverra.zibetha,Generalist,Shake.toss,Y,0.010710054,-0.081826178,0.031628318,-0.003639289
NMVC25075Vulpes.vulpesUpperLeft,-0.139830171,0.015752049,-0.046845553,0.012737952,0.002109791,-0.030413471,-0.01719499,-0.004141704,-0.000739389,-0.004722934,0.012049517,0.00712673,0.004181722,-0.002168261,-0.003252589,0.000895309,0.002109324,-0.002044885,0.00085226,0.000864224,-0.00228608,-0.000797134,-0.001437793,0.001640976,-0.000522227,-0.001536227,3.56E-05,-4.56E-06,0.001404019,0.00081496,0.001667158,0.000303804,0.000516024,0.000185777,-0.001202311,-2.70E-05,0.000951361,0.00024506,0.000693704,0.000200287,0.000383164,0.000255812,-0.000412634,-0.000657639,0.00042035,-0.00019007,-8.74E-05,-0.000291087,3.08E-05,-0.000363345,Upper,NMVC25075,Canidae,Vulpes.vulpes,Meat,Shake.toss,Y,-0.067533142,-0.07229703,0.063097152,-0.047345103
