Species,Anterior.SpMean,Posterior.SpMean,Lingual.SpMean,Labial.SpMean,Tip.Av.SpMean,Length,SHSpM.PC1,SHSpM.PC2,SHSpM.PC3,SHSpM.PC3,GMSpM.PC1,GMSpM.PC2,GMSpM.PC3,GMSpM.PC4,Midline.length.SpMean,log.Midline.length.SpMean,Csize.SpMean,Base.area.SpMean,sqrt.Base.area.SpMean,Lateral.width.SpMean,Body.massSpMean,logBody.mass
Helarctos_malayanus,21.962,11.259,14.4295,21.03,15.607,22.642,1.016457242,0.654109379,0.523002954,0.160300328,-0.013548635,-0.043794504,0.001906176,0.062472203,22.642,1.354011265,45.65817446,104.3431885,10.20003318,10.88,46500,4.667452953
Herpestes_ichneumon,21.104,13.911,14.847,23.871,16.682,6.566,-0.116667918,0.159078483,0.50257422,-0.534460576,-0.004809711,-0.009617011,0.052344874,0.001248486,6.566,0.817300878,13.30518622,7.72469856,2.779334194,2.58,5175,3.713910354
Herpestes_urva,19.27,14.785,18.122,21.639,17.36166667,7.056,-0.568296076,2.2025676,-0.006451031,-1.295455365,-0.009350446,-0.022621885,0.023842778,-0.017811977,7.056,0.847745589,14.53514166,9.356861597,3.056522045,2.906666667,1863.2,3.270259476
Hyaena_hyaena,21.3335,11.981,14.285,20.762,15.648,22.0735,0.122954816,0.045989534,0.128809634,-0.077027873,-0.006334931,-0.01493237,-0.008906695,-0.015720284,22.0735,1.342928908,45.72856297,97.21942735,9.858109042,9.59,41705.1,4.620189167
Ichneumia_albicauda,15.681,13.5785,20.5145,21.164,15.2285,7.7675,-0.199374006,0.496876135,0.580027991,-0.266241004,0.054785158,-0.01181105,0.041889906,-0.00852471,7.7675,0.889958183,15.26107084,8.14978235,2.852053762,2.685,3500,3.544068044
Leopardus_pardalis,19.69125,11.868,15.05275,17.0555,13.63275,15.19325,-0.762582816,-0.066035261,-0.226047998,0.196617026,0.049343775,-0.046254357,0.018126052,-0.004184456,15.19325,1.181410389,29.87294529,35.72796378,5.971568963,5.79,11900.1,4.075550611
Leptailurus_serval,19.539,13.907,14.884,16.136,14.52,12.901,-0.015372115,0.20299645,-0.087229315,-0.208629747,0.065388233,-0.014252411,-9.03E-04,-6.12E-04,12.901,1.110623375,25.27375948,24.2671313,4.926168014,4.84,12000,4.079181246
Lutra_lutra,20.5235,14.522,14.8375,20.695,15.7015,10.147,-0.135464041,1.756916933,-0.08005744,-1.615407238,0.029294159,-0.018681206,-0.02038096,0.056073955,10.147,1.006263107,20.29432379,18.3982986,4.289284143,4.895,8785.133333,3.943748357
Lynx_rufus,19.7385,12.7095,14.3165,16.385,14.0335,13.791,-0.948409958,1.041983793,-0.200145092,-0.089088795,0.063346961,-0.028098032,0.005699949,0.024103275,13.791,1.138318829,26.85355489,28.7472199,5.334622803,5.55,8904.1,3.949590029
Martes_americana,20.057,15.409,15.388,18.958,17.327,7.185,-0.300089957,-0.642147082,1.055225006,-0.047352011,0.08894756,-0.036666256,-0.016552982,0.028517716,7.185,0.856426772,13.83034787,6.45536723,2.540741472,2.73,1250,3.096910013
Martes_pennanti,19.736,15.3655,16.74,23.2705,15.2735,11.1835,-0.2897642,-1.002258646,0.988071479,0.506439358,0.071263967,0.005952833,0.006971238,0.003968015,11.1835,1.048556924,21.71314235,16.57854395,4.071558756,3.955,4000,3.602059991
Meles_meles,16.0685,14.013,22.4035,22.697,16.3435,8.473,-0.567827499,0.831010606,0.751106209,-0.780872589,-0.025159507,-0.086710478,0.028780316,-0.058456701,8.473,0.927897346,17.51610725,13.80381705,3.714606325,3.37,13000,4.113943352
Mellivora_capensis,23.56466667,15.89466667,18.74266667,22.85266667,16.72666667,10.90833333,-0.065781175,0.549200287,0.013186424,-1.065647956,-0.052944017,-0.035556906,0.029916767,0.011696757,10.90833333,1.036630032,23.00542334,28.3735759,5.303368294,5.31,8500,3.929418926
