Species,Anterior.SpMean,Posterior.SpMean,Lingual.SpMean,Labial.SpMean,Tip.Av.SpMean,Midline.length,log.Midline.length,Csize,Base.area,sqrt.Base.area,Lateral.width,Body.mass,GMSpM.PC1,GMSpM.PC2
Acinonyx_jubatus,19.613,12.83,14.196,18.458,14.8165,17.989,1.254921003,36.67613001,61.0244596,7.792706861,7.72,50000,0.00610628,0.006733891
Ailuropoda_melanoleuca,21.1585,13.3125,15.0405,21.674,16.7645,17.187,1.233581693,39.72297815,109.2723541,10.43200871,9.97,108400,-0.157359843,-0.05803338
Ailurus_fulgens,22.7225,15.7865,14.6805,15.9935,16.4375,7.4915,0.874127615,15.66175614,11.78500105,3.43221365,3.255,4900,-0.04152926,-0.013136284
Atilax_paludinosus,12.9,13.358,19.782,19.45,14.879,10.417,1.017742664,21.07060683,19.6261305,4.43013888,4.5,3300,-6.28E-04,-0.047963187
Bdeogale_jacksoni,14.893,12.119,23.987,22.975,14.358,9.043,0.956312531,17.64094879,10.1808326,3.190741701,2.81,2500,0.073350115,-0.149803521
Canis_aureus,19.748,13.026,15.73,22.785,14.799,14.222,1.152960674,30.08960646,20.868875,4.568246381,4.17,10345.2,0.058249829,-0.011477014
Canis_dingo,20.0372,14.7512,16.7596,22.3288,15.6398,14.8782,1.170791922,29.71250224,32.7791562,5.713874818,5.364,16800,0.043382858,-0.001349402
Canis_latrans,20.2475,13.898,15.793,21.502,15.4945,16.6855,1.221223484,32.24186391,34.3326402,5.84615481,5.34,13406.3,0.088682531,0.009162176
Canis_mesomelas,19.524,15.016,16.657,21.706,14.62,16.932,1.22870826,31.92559999,28.5047152,5.338980727,4.81,8500,0.109116744,0.060204903
Caracal_caracal,21.4875,13.623,14.9845,20.509,15.5045,11.5475,1.061955442,23.11225292,22.33160235,4.720976898,4.475,13749.9,0.03711544,-0.026149849
Civettictis_civetta,20.652,15.758,19.219,24.304,15.381,11.722,1.069001717,23.24455959,21.9573474,4.685866771,4.58,12000,0.037542908,0.018471452
Conepatus_leuconotus,19.034,17.213,19.473,21.4555,15.911,7.1415,0.85367279,14.84947814,11.0287808,3.320256389,3.375,3500,-0.037257159,-0.026786387
Crocuta_crocuta,20.342,13.375,11.675,22.658,14.979,23.452,1.370179886,47.49702319,98.8440064,9.942032307,10.19,62999.9,0.01549183,-0.032836952
Dasyurus_geoffroii,20.396,14.72,17.031,21.84,15.512,5.467,0.737749074,10.70463847,4.04734071,2.011800365,1.84,1100,0.061596914,0.022186621
Dasyurus_hallucatus,19.829,13.431,22.261,22.021,17.291,3.92,0.593286067,7.939158313,2.39556645,1.547761755,1.48,525,0.024995938,0.031501441
Dasyurus_maculatus,17.3675,14.1415,15.0015,20.117,15.613,7.248,0.859875065,14.2735915,7.551660265,2.745654192,2.885,5500,0.060320558,0.019279371
Dasyurus_viverrinus,17.241,15.022,17.881,22.081,16.594,5.365,0.729569726,10.57077568,3.89986395,1.97480732,2.1,1090,0.065015089,-0.003666221
Didelphis_albiventris,18.504,14.1045,20.0215,21.6935,16.661,4.5755,0.658543561,9.450579331,4.2012002,2.048396621,1.945,904,-0.027422746,0.044975662
Didelphis_marsupialis,18.3665,13.9515,21.0875,21.9915,15.2555,5.606,0.747482782,11.61827941,6.126817825,2.468977452,2.235,1091.2,-0.028894674,0.027745355
Didelphis_virginiana,17.1102,15.5678,23.5496,22.537,14.6136,12.4398,1.091170858,23.53087099,15.01037652,3.854601682,3.554,2195.5,0.112536601,0.046725103
Eira_barbara,21.5825,14.1405,16.1535,18.2605,15.599,9.7265,0.986297759,19.86662723,18.1252172,4.241821992,4.07,3910,-0.006666964,-0.0254689
Gulo_gulo,19.692,19.595,15.582,20.443,15.70166667,13.53233333,1.130369509,28.56886635,44.88937787,6.68676583,6.84,17012.55,-0.052180953,-0.028202442
Helarctos_malayanus,21.962,11.259,14.4295,21.03,15.607,22.642,1.354011265,45.65817446,104.3431885,10.20003318,10.88,46500,-0.013548635,-0.043794504
Herpestes_ichneumon,21.104,13.911,14.847,23.871,16.682,6.566,0.817300878,13.30518622,7.72469856,2.779334194,2.58,5175,-0.004809711,-0.009617011
Herpestes_urva,19.27,14.785,18.122,21.639,17.36166667,7.056,0.847745589,14.53514166,9.356861597,3.056522045,2.906666667,1863.2,-0.009350446,-0.022621885
Hyaena_hyaena,21.3335,11.981,14.285,20.762,15.648,22.0735,1.342928908,45.72856297,97.21942735,9.858109042,9.59,41705.1,-0.006334931,-0.01493237
Ichneumia_albicauda,15.681,13.5785,20.5145,21.164,15.2285,7.7675,0.889958183,15.26107084,8.14978235,2.852053762,2.685,3500,0.054785158,-0.01181105
Leopardus_pardalis,19.69125,11.868,15.05275,17.0555,13.63275,15.19325,1.181410389,29.87294529,35.72796378,5.971568963,5.79,11900.1,0.049343775,-0.046254357
Leptailurus_serval,19.539,13.907,14.884,16.136,14.52,12.901,1.110623375,25.27375948,24.2671313,4.926168014,4.84,12000,0.065388233,-0.014252411
Lutra_lutra,20.5235,14.522,14.8375,20.695,15.7015,10.147,1.006263107,20.29432379,18.3982986,4.289284143,4.895,8785.133333,0.029294159,-0.018681206
Lynx_rufus,19.7385,12.7095,14.3165,16.385,14.0335,13.791,1.138318829,26.85355489,28.7472199,5.334622803,5.55,8904.1,0.063346961,-0.028098032
Martes_americana,20.057,15.409,15.388,18.958,17.327,7.185,0.856426772,13.83034787,6.45536723,2.540741472,2.73,1250,0.08894756,-0.036666256
Martes_pennanti,19.736,15.3655,16.74,23.2705,15.2735,11.1835,1.048556924,21.71314235,16.57854395,4.071558756,3.955,4000,0.071263967,0.005952833
Meles_meles,16.0685,14.013,22.4035,22.697,16.3435,8.473,0.927897346,17.51610725,13.80381705,3.714606325,3.37,13000,-0.025159507,-0.086710478
Mellivora_capensis,23.56466667,15.89466667,18.74266667,22.85266667,16.72666667,10.90833333,1.036630032,23.00542334,28.3735759,5.303368294,5.31,8500,-0.052944017,-0.035556906
Mephitis_mephitis,18.724,16.309,21.997,22.111,15.741,6.914,0.839729375,13.39659002,6.18164183,2.486290777,2.5,2085,0.076771464,-0.040735913
Mungos_mungo,19.761,15.354,21.675,20.865,15.489,5.478,0.738622028,11.06861088,4.96953011,2.229244291,2.14,1925,0.022607915,-0.007328986
Mustela_frenata,19.888,18.66,24.152,22.641,16.298,3.719,0.570426178,7.381586326,2.06156495,1.435815082,1.59,147,0.046672945,0.02266979
Neofelis_nebulosa,19.729,12.356,17.08,16.877,12.146,31.207,1.494252021,56.8378039,66.2291305,8.138128194,7.93,10740.75,0.196529971,0.010422998
Panthera_leo,20.191,11.4035,21.0795,18.349,13.627,44.9265,1.652494182,88.12638025,301.0046365,17.34853001,16.51,161499.1,0.061577672,-0.022834664
Panthera_onca,21.1845,12.6895,18.4905,19.4925,14.661,26.1055,1.416732006,52.28603405,120.5504411,10.87065011,10.995,1.00E+05,0.02986823,-0.016631043
Panthera_pardus,20.9945,12.4085,17.93125,17.754,13.6275,25.49075,1.404603939,49.74573401,97.03102913,9.81101268,9.6225,52038.23333,0.060264754,-0.032285885
Panthera_tigris,19.6765,11.2245,18.325,19.095,13.621,39.335,1.594569822,76.87199641,216.9813435,14.72732077,14.095,162564,0.065848209,-0.014018881
Uncia_uncia,20.932,12.763,18.877,18.341,12.818,24.891,1.396042345,47.92179252,80.0794114,8.948710041,8.98,44167,0.087436883,-0.025373015
Pardofelis_marmorata,20.7335,13.098,15.2075,18.611,14.4365,10.1495,1.006352109,20.10824173,16.01303405,3.997344693,3.945,2854.25,0.044872393,-0.020812588
Procyon_cancrivorus,15.6005,12.723,20.4795,21.2555,14.2125,10.976,1.038670281,22.38337304,24.8507736,4.98275237,5.16,6949.9,-0.025859515,-0.041054838
Procyon_lotor,14.43475,12.3985,21.34475,20.727,14.68725,10.14975,1.006261728,20.07829533,15.3049323,3.903084966,3.8375,5525,0.041351742,-0.062060455
Puma_concolor,20.302,13.47,15.11066667,21.29866667,13.83566667,22.72966667,1.355916017,46.01635172,99.24285837,9.943186875,10.22333333,51600,0.017310122,-0.019663895
Sarcophilus_harrisii,18.923,15.54025,18.23325,18.4875,15.011,13.302,1.123818788,27.77556491,40.7722721,6.384368656,6.965,10000,-0.038671395,-0.031093731
Suricata_suricatta,18.736,15.553,21.811,19.868,14.748,5.293,0.723701894,10.53439753,4.44991292,2.109481671,2.01,725.5,0.020971476,-0.02004687
Taxidea_taxus,17.842,16.3095,20.9435,21.7865,13.76,9.8045,0.991416342,19.85797032,18.88327165,4.342772311,4.275,7107.6,-0.009957653,-0.061967772
Ursus_americanus,19.2865,12.818,16.5285,22.357,14.612,23.0085,1.361848757,46.58853518,103.9708438,10.1937627,10.085,99949.4,3.89E-04,-0.007319555
Ursus_arctos,20.81033333,13.746,16.872,23.06866667,15.05566667,24.37133333,1.385673237,50.77330425,138.5450583,11.71319165,11.53666667,172720.4,-0.035923822,-0.014395657
