,X,Species,Family,Anterior.SpMean,Posterior.SpMean,Lingual.SpMean,Labial.SpMean,Tip.Av.SpMean,Length,SHSpM.PC1,SHSpM.PC2,SHSpM.PC3,SHSpM.PC3.1,GMSpM.PC1,GMSpM.PC2,GMSpM.PC3,GMSpM.PC4,Midline.length.SpMean,log.Midline.length.SpMean,Csize.SpMean,Base.area.SpMean,sqrt.Base.area.SpMean,Lateral.width.SpMean,Body.massSpMean,logBody.mass,BodyMass.residual,logBodyMass.residual,loglogBodyMass.residual
22,22,Herpestes_urva,Herpestidae,19.27,14.785,18.122,21.639,17.36166667,7.056,-0.568296076,2.2025676,-0.006451031,-1.295455365,-0.009350446,-0.022621885,0.023842778,-0.017811977,7.056,0.847745589,14.53514166,9.356861597,3.056522045,2.906666667,1863.2,3.270259476,-4.162240586,-0.016642561,-0.028479855
23,23,Hyaena_hyaena,Hyaenidae,21.3335,11.981,14.285,20.762,15.648,22.0735,0.122954816,0.045989534,0.128809634,-0.077027873,-0.006334931,-0.01493237,-0.008906695,-0.015720284,22.0735,1.342928908,45.72856297,97.21942735,9.858109042,9.59,41705.1,4.620189167,8.745510184,2.022379011,0.103516901
24,24,Ichneumia_albicauda,Herpestidae,15.681,13.5785,20.5145,21.164,15.2285,7.7675,-0.199374006,0.496876135,0.580027991,-0.266241004,0.054785158,-0.01181105,0.041889906,-0.00852471,7.7675,0.889958183,15.26107084,8.14978235,2.852053762,2.685,3500,3.544068044,-3.537414102,-1.937589729,-0.059933018
25,25,Leopardus_pardalis,Felidae,19.69125,11.868,15.05275,17.0555,13.63275,15.19325,-0.762582816,-0.066035261,-0.226047998,0.196617026,0.049343775,-0.046254357,0.018126052,-0.004184456,15.19325,1.181410389,29.87294529,35.72796378,5.971568963,5.79,11900.1,4.075550611,3.443525171,0.378386719,0.088528536
26,26,Leptailurus_serval,Felidae,19.539,13.907,14.884,16.136,14.52,12.901,-0.015372115,0.20299645,-0.087229315,-0.208629747,0.065388233,-0.014252411,-0.000903,-0.000612,12.901,1.110623375,25.27375948,24.2671313,4.926168014,4.84,12000,4.079181246,1.145985164,-1.94876889,0.016764732
27,27,Lutra_lutra,Mustelidae,20.5235,14.522,14.8375,20.695,15.7015,10.147,-0.135464041,1.756916933,-0.08005744,-1.615407238,0.029294159,-0.018681206,-0.02038096,0.056073955,10.147,1.006263107,20.29432379,18.3982986,4.289284143,4.895,8785.133333,3.943748357,-1.437777913,-3.400691574,-0.051158523
28,28,Lynx_rufus,Felidae,19.7385,12.7095,14.3165,16.385,14.0335,13.791,-0.948409958,1.041983793,-0.200145092,-0.089088795,0.063346961,-0.028098032,0.005699949,0.024103275,13.791,1.138318829,26.85355489,28.7472199,5.334622803,5.55,8904.1,3.949590029,2.199922442,0.187145491,0.079325549
29,29,Martes_americana,Mustelidae,20.057,15.409,15.388,18.958,17.327,7.185,-0.300089957,-0.642147082,1.055225006,-0.047352011,0.08894756,-0.036666256,-0.016552982,0.028517716,7.185,0.856426772,13.83034787,6.45536723,2.540741472,2.73,1250,3.096910013,-4.00076979,1.778971843,0.026839458
30,30,Martes_pennanti,Mustelidae,19.736,15.3655,16.74,23.2705,15.2735,11.1835,-0.2897642,-1.002258646,0.988071479,0.506439358,0.071263967,0.005952833,0.006971238,0.003968015,11.1835,1.048556924,21.71314235,16.57854395,4.071558756,3.955,4000,3.602059991,-0.147890616,0.920864764,0.083063506
31,31,Meles_meles,Mustelidae,16.0685,14.013,22.4035,22.697,16.3435,8.473,-0.567827499,0.831010606,0.751106209,-0.780872589,-0.025159507,-0.086710478,0.028780316,-0.058456701,8.473,0.927897346,17.51610725,13.80381705,3.714606325,3.37,13000,4.113943352,-3.334967864,-6.710978327,-0.175313732
32,32,Mellivora_capensis,Mustelidae,23.56466667,15.89466667,18.74266667,22.85266667,16.72666667,10.90833333,-0.065781175,0.549200287,0.013186424,-1.065647956,-0.052944017,-0.035556906,0.029916767,0.011696757,10.90833333,1.036630032,23.00542334,28.3735759,5.303368294,5.31,8500,3.929418926,-0.66134591,-2.501592394,-0.016936392
33,33,Mephitis_mephitis,Mephitidae,18.724,16.309,21.997,22.111,15.741,6.914,1.864742852,0.002186653,-0.91029999,-0.852535549,0.076771464,-0.040735913,0.022708392,0.00207604,6.914,0.839729375,13.39659002,6.18164183,2.486290777,2.5,2085,3.319106059,-4.315985568,-0.628262814,-0.049637807
34,34,Mungos_mungo,Herpestidae,19.761,15.354,21.675,20.865,15.489,5.478,1.164801612,0.736814899,0.92087826,0.136503872,0.022607915,-0.007328986,-0.002159028,-0.005850102,5.478,0.738622028,11.06861088,4.96953011,2.229244291,2.14,1925,3.284430734,-5.743513083,-1.730887705,-0.141416066
35,35,Mustela_frenata,Mustelidae,19.888,18.66,24.152,22.641,16.298,3.719,0.806341299,0.128013027,0.79771582,0.52199583,0.046672945,0.02266979,-0.010846664,0.01984525,3.719,0.570426178,7.381586326,2.06156495,1.435815082,1.59,147,2.167317335,-7.4083626,7.25025102,-0.009062503
36,36,Neofelis_nebulosa,Felidae,19.729,12.356,17.08,16.877,12.146,31.207,0.251357185,1.493635576,1.030154179,0.191945154,0.196529971,0.010422998,0.01710651,-0.005816105,31.207,1.494252021,56.8378039,66.2291305,8.138128194,7.93,10740.75,4.031034608,19.51866626,16.82012196,0.413346802
37,37,Panthera_leo,Felidae,20.191,11.4035,21.0795,18.349,13.627,44.9265,-0.07526341,0.839123241,0.184000765,-0.438016051,0.061577672,-0.022834664,-0.015379414,-0.00076,44.9265,1.652494182,88.12638025,301.0046365,17.34853001,16.51,161499.1,5.208170106,25.2550552,19.22241947,0.254891139
38,38,Panthera_onca,Felidae,21.1845,12.6895,18.4905,19.4925,14.661,26.1055,-0.636104866,-0.792696869,-0.302714743,-0.463353119,0.02986823,-0.016631043,-0.007296957,0.012604669,26.1055,1.416732006,52.28603405,120.5504411,10.87065011,10.995,1.00E+05,5,9.690618737,2.402806091,0.075135276
39,39,Panthera_pardus,Felidae,20.9945,12.4085,17.93125,17.754,13.6275,25.49075,-0.456910144,0.351637199,0.886460425,-0.700423159,0.060264754,-0.032285885,0.020575381,0.013288732,25.49075,1.404603939,49.74573401,97.03102913,9.81101268,9.6225,52038.23333,4.716322544,11.61558949,4.515384609,0.139328103
40,40,Panthera_tigris,Felidae,19.6765,11.2245,18.325,19.095,13.621,39.335,0.204170827,-0.725528856,0.375085405,0.324436187,0.065848209,-0.014018881,-0.003504025,-0.009815915,39.335,1.594569822,76.87199641,216.9813435,14.72732077,14.095,162564,5.211024377,19.60716552,13.60347797,0.196198862
41,41,Uncia_uncia,Felidae,20.932,12.763,18.877,18.341,12.818,24.891,0.351310044,-0.414572601,0.206452316,0.482325979,0.087436883,-0.025373015,0.005591824,0.017386257,24.891,1.396042345,47.92179252,80.0794114,8.948710041,8.98,44167,4.645097901,11.43264513,4.600401749,0.149928865
42,42,Paradoxurus_hermaphroditus,Viverridae,19.945,12.131,20.56833333,18.755,14.93433333,8.708333333,-0.383497111,-0.411641151,0.48511162,-0.215065695,0.033402999,0.010709607,0.044953829,-0.028147989,8.708333333,0.939004675,17.38561919,11.63043847,3.401944922,3.173333333,3113.35,3.493227946,-2.576106481,-0.507970114,0.00279155
43,43,Pardofelis_marmorata,Felidae,20.7335,13.098,15.2075,18.611,14.4365,10.1495,0.090785117,-0.762076889,1.218090746,-0.257291655,0.044872393,-0.020812588,0.018120405,0.003282473,10.1495,1.006352109,20.10824173,16.01303405,3.997344693,3.945,2854.25,3.45549201,-1.121219684,1.295996953,0.080291501
44,44,Procyon_cancrivorus,Procyonidae,15.6005,12.723,20.4795,21.2555,14.2125,10.976,-0.786506536,-0.315132861,0.499447809,1.011823365,-0.025859515,-0.041054838,0.04715512,0.014418665,10.976,1.038670281,22.38337304,24.8507736,4.98275237,5.16,6949.9,3.841978556,-0.511596752,-1.59325753,0.00862891
45,45,Procyon_lotor,Procyonidae,14.43475,12.3985,21.34475,20.727,14.68725,10.14975,-0.399016423,0.185940201,-0.716501737,0.516365762,0.041351742,-0.062060455,0.027757038,0.008717339,10.14975,1.006261728,20.07829533,15.3049323,3.903084966,3.8375,5525,3.742332282,-1.262393983,-1.461489474,0.003029299
46,46,Puma_concolor,Felidae,20.302,13.47,15.11066667,21.29866667,13.83566667,22.72966667,0.045931162,0.322581267,0.75107056,0.886918342,0.017310122,-0.019663895,-0.036277455,0.028498382,22.72966667,1.355916017,46.01635172,99.24285837,9.943186875,10.22333333,51600,4.712649702,8.877711942,1.789612674,0.091628326
47,47,Sarcophilus_harrisii,Dasyuridae,18.923,15.54025,18.23325,18.4875,15.011,13.302,0.32389873,-0.515680959,0.875037752,0.39696166,-0.038671395,-0.031093731,-0.001469365,0.057589043,13.302,1.123818788,27.77556491,40.7722721,6.384368656,6.965,10000,4,1.652891219,-0.78650547,0.051263154
48,48,Suricata_suricatta,Herpestidae,18.736,15.553,21.811,19.868,14.748,5.293,0.633885253,0.537236402,2.522575054,-0.653013524,0.020971476,-0.02004687,0.054253791,-0.003947491,5.293,0.723701894,10.53439753,4.44991292,2.109481671,2.01,725.5,2.860637417,-5.864995927,2.158541103,-0.042318382
49,49,Taxidea_taxus,Mustelidae,17.842,16.3095,20.9435,21.7865,13.76,9.8045,1.08005504,0.521240435,0.397677726,0.578549512,-0.009957653,-0.061967772,0.019135776,-0.015665296,9.8045,0.991416342,19.85797032,18.88327165,4.342772311,4.275,7107.6,3.851722979,-1.691447444,-2.858442249,-0.04124668
50,50,Thylacinus_cynocephalus,Thylacinidae,18.048,19.035,21.7205,22.102,16.819,17.655,-0.651708657,0.767728343,-0.150289803,0.693531326,0.021658945,0.032117208,-0.02776202,-0.006847319,17.655,1.24644455,35.4234993,55.06227355,7.416695039,7.19,30000,4.477121255,4.946830667,-1.020639123,0.045523691
51,51,Ursus_americanus,Ursidae,19.2865,12.818,16.5285,22.357,14.612,23.0085,0.203822313,0.941221372,-0.111075666,0.447216711,0.000389,-0.007319555,0.007245334,0.005212855,23.0085,1.361848757,46.58853518,103.9708438,10.1937627,10.085,99949.4,4.999780191,6.596298161,-0.692080623,0.020311165
52,52,Ursus_arctos,Ursidae,20.81033333,13.746,16.872,23.06866667,15.05566667,24.37133333,-0.018820007,1.017476936,-0.039356224,0.043537865,-0.035923822,-0.014395657,-0.006794164,0.012804998,24.37133333,1.385673237,50.77330425,138.5450583,11.71319165,11.53666667,172720.4,5.237343635,4.105686721,-1.61322701,-0.019778685
53,53,Ursus_maritimus,Ursidae,20.2035,14.588,17.0265,22.6275,14.1745,32.4965,0.727713157,1.958150694,-0.21391439,0.845494067,-0.013619468,-0.006446545,0.005676813,0.022651483,32.4965,1.511638408,66.21802496,226.180429,15.03914303,15.425,388750.35,5.589670793,0.791413492,3.124599971,0.011396002
54,54,Viverra_tangalunga,Viverridae,19.9755,13.846,17.3335,22.334,15.4215,9.553,0.127505659,0.356952485,-1.211422274,0.721472573,0.075274474,0.012934988,0.001786287,0.008283169,9.553,0.978757403,18.53731455,12.21661675,3.491935014,3.455,8675,3.938269483,-2.02594602,-3.942016647,-0.077190185
55,55,Viverra_zibetha,Viverridae,19.28133333,12.109,19.319,24.64733333,14.707,9.946,-0.663846725,0.372023437,-0.419677386,0.937098243,0.083483345,0.03621845,0.009287467,-0.012201761,9.946,0.986432246,19.28928879,13.12660363,3.520625487,3.306666667,9500,3.977723605,-1.676632267,-3.92833601,-0.080130122
56,56,Vulpes_vulpes,Canidae,19.847,14.81633333,16.49533333,22.67133333,14.69466667,15.79933333,-0.577426635,0.305066933,-0.222826422,0.310883077,0.144062627,0.035679868,-0.018556626,-0.009594517,15.79933333,1.198332587,29.52148176,23.36493467,4.831775796,4.493333333,5603.75,3.748478752,4.383019296,4.129000535,0.193446505
