Institution,Specimen,Suborder,Family,Species,Collector,Specimen.type,Tooth,Position,Killing.technique,Diet,Scan,Outlier,Sharpness.pair,Notes,Anterior,Posterior,Lingual,Labial,Sagittal.Tip,Lateral.Tip,Tip.Av,Midline.length,log.Midline.length,Csize,Base.area,sqrt.Base.area,Lateral.width,Body.mass
AM,AM45664,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,N,N,Removed.from.sharpness.edges.bit.too.worn,19.437,15.779,21.02,19.997,13.6,12.171,12.885,45.514,1.658145005,0,,0,,162564
Monash,MZRC2424,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Lower,Right,Nape.throat,Meat.bone,Artec,Y,N,,19.592,11.33,18.958,19.143,14.384,12.417,13.40039888,22.704,1.356102378,47.75097962,120.807922,10.99126571,11.41,162564
Monash,MZRC2424,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Artec,N,N,Too.sharp,19.696,10.613,17.834,16.984,11.994,11.36,11.677,36.278,1.559643336,0,0,0,0,162564
NMNH,NMNH253289,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,19.732,11.082,18.053,19.124,14.359,13.027,13.693,38.114,1.58108453,74.83431908,208.275194,14.43174258,13.84,162564
NMNH,NMNH253293,Feliform,Felidae,Panthera.tigris,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,19.621,11.367,18.597,19.066,14.461,12.637,13.549,40.556,1.608055114,78.90967374,225.687493,15.02289895,14.35,162564
MV,NMVC29874,Feliform,Felidae,Panthera.tigris,Tahlia,Natural,Lower,Right,Nape.throat,Meat.bone,Laser.design,N,N,"Removed.from.sharpness.edges.bit.too.worn,.tip.recon",20.309,15.792,15.405,18.868,16.253,15.628,15.94069711,26.247,1.419079671,0,0,0,0,162564
MV,NMVC29874,Feliform,Felidae,Panthera.tigris,Tahlia,Natural,Upper,Left,Nape.throat,Meat.bone,Laser.design,N,N,Removed.from.sharpness.edges.bit.too.worn,19.648,15.419,20.244,19.973,14.721,13.876,14.298,44.618,1.649510099,0,0,0,0,162564
AMNH,AMNH35529,Feliform,Felidae,Panthera.uncia,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,20.932,12.763,18.877,18.341,12.887,12.75,12.818,24.891,1.396042345,47.92179252,80.0794114,8.948710041,8.98,44167
Smithsonian,NMNH123979,Feliform,Viverridae,Paradoxurus.hermaphroditus,Tahlia,Cast,Upper,Right,Unknown,Unknown,Laser.design,Y,N,,18.508,10.89,21.188,18.532,14.959,15.828,15.393,9.077,0.957942335,17.92201727,11.600812,3.405996477,3.03,3113.35
Smithsonian,NMNH258332,Feliform,Viverridae,Paradoxurus.hermaphroditus,Tahlia,Cast,Lower,Left,Unknown,Unknown,Laser.design,Y,Y,,20.017,13.155,13.554,18.945,14.319,14.461,14.39,7.804,0.892317261,16.16659631,12.4116033,3.523010545,3.21,3113.35
Smithsonian,NMNH258332,Feliform,Viverridae,Paradoxurus.hermaphroditus,Tahlia,Cast,Upper,Left,Unknown,Unknown,Laser.design,Y,Y,,21.321,12.1,19.214,17.165,15.261,14.49,14.875,9.132,0.960565903,18.46130413,13.6370533,3.692838109,3.49,3113.35
MV,NMVC54586,Feliform,Viverridae,Paradoxurus.hermaphroditus,Anastasia,Natural,Upper,Right,Unknown,Unknown,Laser.design,Y,N,,20.006,13.403,21.303,20.568,14.817,14.254,14.535,7.916,0.898505786,15.77353618,9.65345011,3.107000179,3,3113.35
