Institution,Specimen,Suborder,Family,Species,Collector,Specimen.type,Tooth,Position,Killing.technique,Diet,Scan,Outlier,Sharpness.pair,Notes,Anterior,Posterior,Lingual,Labial,Sagittal.Tip,Lateral.Tip,Tip.Av,Midline.length,log.Midline.length,Csize,Base.area,sqrt.Base.area,Lateral.width,Body.mass
MV,NMVC21949,Feliform,Herpestidae,Herpestes.urva,Anastasia,Natural,Upper,Right,Invert.feeder,Invert.aquatic,Laser.design,Y,Y,,19.511,12.681,21.015,20.92,16.448,15.727,16.088,6.721,0.827433895,13.81320337,8.3379008,2.887542346,2.72,1863.2
AMNH,AMNH187783,Feliform,Hyaenidae,Hyaena.hyaena,Tahlia,Cast,Lower,Left,Tear,Carrion.bone,Laser.design,Y,Y,,21.63,12.848,14.875,20.473,14.977,14.977,14.977,20.875,1.319626484,42.39040006,82.914742,9.105753236,9.23,41705.1
AMNH,AMNH187783,Feliform,Hyaenidae,Hyaena.hyaena,Tahlia,Cast,Upper,Right,Tear,Carrion.bone,Laser.design,Y,Y,,21.502,11.73,12.918,20.756,16.565,14.791,15.678,23.526,1.371548093,47.87597636,101.017727,10.05075753,10,41705.1
MV,NMVC54580,Feliform,Hyaenidae,Hyaena.hyaena,Tahlia,Natural,Lower,Left,Tear,Carrion.bone,Laser.design,Y,Y,Tip.repaired,20.964,14.324,14.816,20.749,14.418,15.152,14.785,21.343,1.329255464,44.59651376,98.1545511,9.907297871,9.98,41705.1
MV,NMVC54580,Feliform,Hyaenidae,Hyaena.hyaena,Tahlia,Natural,Upper,Left,Tear,Carrion.bone,Laser.design,Y,Y,Tip.repaired,21.165,12.232,15.652,20.768,15.03,16.207,15.618,20.621,1.314309722,43.58114958,93.4211277,9.665460553,9.18,41705.1
Smithsonian,NMNH162130,Feliform,Herpestidae,Ichneumia.albicauda,Tahlia,Cast,Lower,Left,Invert.feeder,Invert.terrestrial,Laser.design,Y,Y,,19.488,15.618,17.578,21.221,17.115,15.825,16.47,7.503,0.875234946,15.39496208,10.638772,3.261713047,3.05,3500
Smithsonian,NMNH162130,Feliform,Herpestidae,Ichneumia.albicauda,Tahlia,Cast,Upper,Right,Invert.feeder,Invert.terrestrial,Laser.design,Y,Y,,16.856,13.653,20.206,20.823,15.416,15.416,15.416,8.067,0.906712057,15.87607985,8.86157834,2.976840328,2.77,3500
Smithsonian,NMNH381467,Feliform,Herpestidae,Ichneumia.albicauda,Tahlia,Cast,Upper,Left,Invert.feeder,Invert.terrestrial,Laser.design,Y,N,,14.506,13.504,20.823,21.505,15.351,14.732,15.041,7.468,0.873204309,14.64606182,7.43798636,2.727267196,2.6,3500
DOUG,DOUG40178,Feliform,Felidae,Leopardus.pardalis,Douglass,Natural,Upper,Right,Nape.throat,Meat,Artec,Y,N,,19.284,12.089,14.476,17.042,12.506,13.913,13.21,15.139,1.180097189,29.35159531,33.316808,5.772071379,5.63,11900.1
NMNH,NMNH171237,Feliform,Felidae,Leopardus.pardalis,Tahlia,Cast,Upper,Left,Nape.throat,Meat,Laser.design,Y,N,,19.8,11.782,14.938,16.938,15.514,13.731,14.623,14.708,1.167553621,29.52513113,37.1894831,6.098318055,5.89,11900.1
NMNH,NMNH361044,Feliform,Felidae,Leopardus.pardalis,Tahlia,Cast,Upper,Right,Nape.throat,Meat,Laser.design,Y,N,,20.421,11.841,16.186,17.018,14.755,13.105,13.93,14.89,1.172894698,29.14172925,32.2649359,5.680223226,5.57,11900.1
NMNH,NMNH406839,Feliform,Felidae,Leopardus.pardalis,Tahlia,Cast,Upper,Left,Nape.throat,Meat,Laser.design,Y,N,,19.26,11.76,14.611,17.224,13.296,12.24,12.768,16.036,1.205096048,31.47332546,40.1406281,6.335663193,6.07,11900.1
NMNH,NMNH021645,Feliform,Felidae,Leptailurus.serval,Tahlia,Cast,Upper,Right,Nape.throat,Meat,Laser.design,Y,N,,19.539,13.907,14.884,16.136,14.908,14.131,14.52,12.901,1.110623375,25.27375948,24.2671313,4.926168014,4.84,12000
Smithsonian,NMNHA01292,Caniform,Mustelidae,Lutra.lutra,Tahlia,Cast,Lower,Left,Invert.feeder,Meat,Laser.design,Y,Y,,18.6,20.719,14.759,23.254,14.901,15.133,15.017,8.177,0.912593998,17.35072003,17.1002026,4.135239122,4.2,8785.133333
Smithsonian,NMNHA01292,Caniform,Mustelidae,Lutra.lutra,Tahlia,Cast,Upper,Right,Invert.feeder,Meat,Laser.design,Y,Y,,20.355,14.747,14.755,21.29,15.887,15.443,15.665,10.335,1.014310481,20.5869723,18.2400843,4.27084117,4.86,8785.133333
MV,NMVC22167,Caniform,Mustelidae,Lutra.lutra,Anastasia,Natural,Upper,Left,Invert.feeder,Meat,Laser.design,Y,N,,20.692,14.297,14.92,20.1,15.74,15.737,15.738,9.959,0.998215732,20.00167527,18.5565129,4.307727115,4.93,8785.133333
AM,AM7526,Caniform,Canidae,Lycaon.pictus,Tahlia,Cast,Lower,Right,Tear,Meat.bone,Laser.design,Y,N,,22.165,16.779,13.037,22.087,15.069,15.543,15.30601702,13.762,1.138681554,28.15423018,34.8652244,5.904678179,5.97,22050.1
AM,AM32974,Feliform,Felidae,Lynx.canadensis,Tahlia,Cast,Lower,Right,Nape.throat,Meat,Laser.design,Y,N,,19.47,14.655,15.543,16.514,16.174,15.458,15.816,11.786,1.071366437,22.71526287,17.6188904,4.1974862,4.12,9373.2
MV,NMVR2337,Feliform,Felidae,Lynx.canadensis,Anastasia,Natural,Lower,Right,Nape.throat,Meat,Laser.design,Y,N,,20.701,13.75,19.394,17.154,13.875,13.521,13.698,14.972,1.175279818,29.85799983,40.4571108,6.360590444,6.28,9373.2
AM,AM38584,Feliform,Felidae,Lynx.rufus,Tahlia,Cast,Lower,Left,Nape.throat,Meat,Laser.design,Y,Y,,20.426,11.976,17.681,16.234,14.307,13.765,14.036,10.706,1.029627239,21.14594153,17.8384926,4.223563969,4.43,8904.1
AM,AM38584,Feliform,Felidae,Lynx.rufus,Tahlia,Cast,Upper,Left,Nape.throat,Meat,Laser.design,Y,Y,,20.569,12.253,14.045,16.535,14.196,13.517,13.857,12.735,1.104998949,24.73095756,23.011377,4.797017511,4.84,8904.1
Monash,MZRC954,Feliform,Felidae,Lynx.rufus,Anastasia,Natural,Lower,Right,Nape.throat,Meat,Laser.design,Y,N,,20.61,13.661,16.412,17.089,14.57,13.504,14.037,11.74,1.069668097,23.3182377,22.8088284,4.775858918,4.76,8904.1
Monash,MZRC954,Feliform,Felidae,Lynx.rufus,Anastasia,Natural,Upper,Left,Nape.throat,Meat,Laser.design,N,N,Removed.from.sharpness.posterior.edge.is.repared.(not.satisfactorally),15.32097658,16.634,21.426,16.29,14.065,13.418,13.742,13.846,1.141324327,0,0,0,0,8904.1
MV,NMVC11228,Feliform,Felidae,Lynx.rufus,Tahlia,Natural,Lower,Left,Nape.throat,Meat,Laser.design,Y,Y,,21.082,12.774,20.575,16.365,14.722,14.514,14.618,9.88,0.994756945,20.1945072,19.9186228,4.463028434,4.59,8904.1
MV,NMVC11228,Feliform,Felidae,Lynx.rufus,Tahlia,Natural,Upper,Left,Nape.throat,Meat,Laser.design,Y,Y,,18.908,13.166,14.588,16.235,14.626,13.795,14.21,14.847,1.171638709,28.97615222,34.4830628,5.872228095,6.26,8904.1
MV,NMCV32245,Caniform,Mustelidae,Martes.americana,Anastasia,Natural,Lower,Left,Head.bite,Meat,Laser.design,Y,Y,,20.469,18.165,14.549,19.543,16.266,15.555,15.911,5.958,0.775100499,12.06053354,6.27971781,2.505936514,2.47,1250
MV,NMVC32245,Caniform,Mustelidae,Martes.americana,Anastasia,Natural,Upper,Left,Head.bite,Meat,Laser.design,Y,Y,,20.057,15.409,15.388,18.958,17.232,17.421,17.327,7.185,0.856426772,13.83034787,6.45536723,2.540741472,2.73,1250
Smithsonian,NMNH242868,Caniform,Mustelidae,Martes.pennanti,Tahlia,Cast,Lower,Right,Head.bite,Meat,Laser.design,Y,Y,,18.394,17.122,16.407,21.286,14.925,15.745,15.335,9.268,0.966986025,18.8027696,15.785292,3.973070853,3.85,4000
Smithsonian,NMNH242868,Caniform,Mustelidae,Martes.pennanti,Tahlia,Cast,Upper,Right,Head.bite,Meat,Laser.design,Y,Y,,20.094,14.5,17.249,23.866,15.877,15.115,15.496,11.074,1.044304519,21.6714424,16.8299601,4.102433436,3.99,4000
Smithsonian,NMNH242887,Caniform,Mustelidae,Martes.pennanti,Tahlia,Cast,Upper,Right,Head.bite,Meat,Laser.design,Y,N,,19.378,16.231,16.231,22.675,15.152,14.95,15.051,11.293,1.052809328,21.7548423,16.3271278,4.040684076,3.92,4000
AMNH,AMNH84356,Caniform,Mustelidae,Meles.meles,Tahlia,Cast,Upper,Left,Rarely,Generalist,Laser.design,Y,N,,15.597,13.9,23.245,23.089,17.923,15.089,16.506,8.258,0.916874879,17.05872654,13.2520059,3.640330466,3.39,13000
Smithsonian,NMNH171964,Caniform,Mustelidae,Meles.meles,Tahlia,Cast,Lower,Left,Rarely,Generalist,Laser.design,Y,Y,,14.23,16.482,24.984,24.367,16.04,15.058,15.549,6.296,0.799064719,14.29718461,13.2495263,3.639989876,3.26,13000
Smithsonian,NMNH171964,Caniform,Mustelidae,Meles.meles,Tahlia,Cast,Upper,Left,Rarely,Generalist,Laser.design,Y,Y,,16.54,14.126,21.562,22.305,17.554,14.808,16.181,8.688,0.938919812,17.97348795,14.3556282,3.788882183,3.35,13000
AMNH,AMNH69499,Caniform,Mustelidae,Mellivora.capensis,Tahlia,Cast,Upper,Left,Invert.feeder,Generalist,Laser.design,Y,N,,22.352,15.533,16.282,22.318,16.903,16.802,16.853,11.371,1.05579866,24.03417064,32.0387911,5.660281892,5.84,8500
AMNH,AMNH69499,Caniform,Mustelidae,Mellivora.capensis,Tahlia,Cast,Upper,Right,Invert.feeder,Generalist,Laser.design,Y,N,,22.912,15.603,16.238,23.503,17.564,15.833,16.699,11.534,1.061979947,24.49126489,31.9282276,5.650506845,5.6,8500
AMNH,AMNH83450,Caniform,Mustelidae,Mellivora.capensis,Tahlia,Cast,Upper,Right,Invert.feeder,Generalist,Laser.design,Y,N,,25.43,16.548,23.708,22.737,17.377,15.878,16.628,9.82,0.992111488,20.4908345,21.153709,4.599316145,4.49,8500
Monash,MZRC981,Caniform,Mephitidae,Mephitis.mephitis,Anastasia,Natural,Lower,Right,Head.bite,Generalist,Laser.design,Y,Y,,19.346,21.039,23.56,22.085,16.546,15.512,16.029,5.532,0.742882171,11.14179494,5.62754698,2.372245135,2.26,2085
Monash,MZRC981,Caniform,Mephitidae,Mephitis.mephitis,Anastasia,Natural,Upper,Left,Head.bite,Generalist,Laser.design,Y,Y,,18.724,16.309,21.997,22.111,16.209,15.272,15.741,6.914,0.839729375,13.39659002,6.18164183,2.486290777,2.5,2085
MV,NMVC11227,Caniform,Mephitidae,Mephitis.mephitis,Anastasia,Natural,Lower,Right,Head.bite,Generalist,Laser.design,Y,N,,18.474,18.298,22.343,19.143,16.977,16.785,16.881,3.716,0.570075705,8.168568901,3.89135675,1.972652212,1.92,2085
MV,NMVR1555,Feliform,Herpestidae,Mungos.mungo,Anastasia,Natural,Upper,Right,Invert.feeder,Invert.terrestrial,Laser.design,Y,N,,19.761,15.354,21.675,20.865,15.373,15.605,15.489,5.478,0.738622028,11.06861088,4.96953011,2.229244291,2.14,1925
MV,NMVR1912,Feliform,Herpestidae,Mungos.mungo,Anastasia,Natural,Lower,Left,Invert.feeder,Invert.terrestrial,Laser.design,Y,N,,19.656,15.903,22.083,19.865,15.703,15.441,15.572,4.466,0.649918719,9.30156141,4.0479925,2.011962351,2.01,1925
MV,NMVR1912,Feliform,Herpestidae,Mungos.mungo,Anastasia,Natural,Lower,Right,Invert.feeder,Invert.terrestrial,Laser.design,Y,N,,19.396,17.497,22.239,21.93,16.24,16.564,16.402,4.349,0.638389408,9.214845674,4.14449906,2.035804278,1.99,1925
MV,NMVR1914,Feliform,Herpestidae,Mungos.mungo,Anastasia,Natural,Lower,Left,Invert.feeder,Invert.terrestrial,Laser.design,Y,N,,19.904,17.979,22.037,17.436,17.436,15.19,16.313,4.707,0.672744198,9.755921537,4.41020193,2.100048078,2.08,1925
MV,NMVC11225,Caniform,Mustelidae,Mustela.frenata,Anastasia,Natural,Upper,Left,Nape.throat,Meat,Laser.design,N,N,,18.947,18.615,22.515,21.112,17.612,17.602,17.607,3.893,0.590284404,0,0,0,0,147
