Species,Suborder,Family,Tooth,Diet,Killing,Anterior,Posterior,Lingual,Labial,Tip.Av,PC1,PC2
Uncia_uncia,Feliform,Felidae,Upper,Meat.bone,Nape.throat,20.932,12.763,18.877,18.341,12.818,0.087436883,-0.025373015
Paradoxurus.hermaphroditus,Feliform,Viverridae,Upper,NA,NA,19.945,12.131,20.56833333,18.755,14.93433333,0.033402999,0.010709607
Pardofelis_marmorata,Feliform,Felidae,Upper,Meat,Nape.throat,20.7335,13.098,15.2075,18.611,14.4365,0.044872393,-0.020812588
Procyon_cancrivorus,Caniform,Procyonidae,Upper,Invert.aquatic,NA,15.6005,12.723,20.4795,21.2555,14.2125,-0.025859515,-0.041054838
Procyon_lotor,Caniform,Procyonidae,Upper,Generalist,NA,14.43475,12.3985,21.34475,20.727,14.68725,0.041351742,-0.062060455
Puma_concolor,Feliform,Felidae,Upper,Meat.bone,Nape.throat,20.302,13.47,15.11066667,21.29866667,13.83566667,0.017310122,-0.019663895
Sarcophilus_harrisii,Marsupial,Dasyuridae,Upper,Carrion.bone,Anterior,18.923,15.54025,18.23325,18.4875,15.011,-0.038671395,-0.031093731
Suricata_suricatta,Feliform,Herpestidae,Upper,Invert.terrestrial,Invert.feeder,18.736,15.553,21.811,19.868,14.748,0.020971476,-0.02004687
Taxidea_taxus,Caniform,Mustelidae,Upper,Meat,Anterior,17.842,16.3095,20.9435,21.7865,13.76,-0.009957653,-0.061967772
Thylacinus_cynocephalus,Marsupial,Thylacinidae,Upper,NA,NA,18.048,19.035,21.7205,22.102,16.819,0.021658945,0.032117208
Ursus_americanus,Caniform,Ursidae,Upper,Generalist,Anterior,19.2865,12.818,16.5285,22.357,14.612,3.89E-04,-0.007319555
Ursus_arctos,Caniform,Ursidae,Upper,Generalist,Anterior,20.81033333,13.746,16.872,23.06866667,15.05566667,-0.035923822,-0.014395657
Ursus_maritimus,Caniform,Ursidae,Upper,Meat.bone,Anterior,20.2035,14.588,17.0265,22.6275,14.1745,-0.013619468,-0.006446545
Viverra_tangalunga,Feliform,Viverridae,Upper,Generalist,Shake.toss,19.9755,13.846,17.3335,22.334,15.4215,0.075274474,0.012934988
Viverra_zibetha,Feliform,Viverridae,Upper,Generalist,Shake.toss,19.28133333,12.109,19.319,24.64733333,14.707,0.083483345,0.03621845
Vulpes_vulpes,Caniform,Canidae,Upper,Meat,Shake.toss,19.847,14.81633333,16.49533333,22.67133333,14.69466667,0.144062627,0.035679868
