Institution,Specimen,Suborder,Family,Species,Specimen.type,Tooth,Position,Killing.technique,Diet,Scan,Outlier,Sharpness.pair,Sagittal.Tip,Lateral.Tip,UpperTip,UpperMidline,LowerMidline,LowerTip,logUpperMidline,logLowerMidline,logUpperTip,logLowerTip,PC1Upper,PC2Upper,PC1Lower,PC2Lower,PC1Diff,PC2Diff
Smithsonian,NMNH259400,Caniform,Ursidae,Ailuropoda.melanoleuca,Cast,Upper,Left,Rarely,Plant,Laser.design,Y,Y,16.976,14.912,15.944,15.706,12.395,15.746,1.196065593,1.093246531,1.202597286,1.197170247,0.177233058,-0.055559749,0.249598422,0.031123538,-0.072365364,-0.086683287
AMNH,AMNH119474,Caniform,Ailuridae,Ailurus.fulgens,Cast,Upper,Right,Rarely,Plant,Laser.design,Y,Y,15.027,15.193,15.11,7.829,7.482,14.633,0.893706293,0.874017704,1.179264464,1.165333373,0.031834509,-0.002003643,0.084214992,0.050164431,-0.052380483,-0.052168074
AMNH,AMNH119939,Feliform,Herpestidae,Atilax.paludinosus,Cast,Upper,Right,Head.bite,Invert.aquatic,Laser.design,Y,Y,14.424,15.334,14.879,10.417,8.628,16.861,1.017742664,0.935910136,1.172573744,1.226883328,0.008423353,-0.043786815,0.099879339,0.076050046,-0.091455986,-0.119836861
AMNH,AMNH83226,Feliform,Herpestidae,Bdeogale.jacksoni,Cast,Upper,Left,Unknown,Invert.terrestrial,Laser.design,Y,Y,15.479,13.236,14.358,9.043,7.312,14.294,0.956312531,0.864036183,1.157093949,1.155153778,-0.058432194,-0.148989031,0.03767795,0.016107281,-0.096110144,-0.165096312
AM,AM42917,Caniform,Canidae,Canis.aureus,Cast,Upper,Right,Shake.tear,Unknown,Laser.design,Y,Y,14.406,15.193,14.799,14.222,10.182,15.82685723,1.152960674,1.007833093,1.17023237,1.199394685,-0.052263421,-0.014666034,-0.022324672,-0.018753737,-0.029938749,0.004087703
AM,AM39949,Caniform,Canidae,Canis.latrans,Cast,Upper,Left,Unknown,Unknown,Laser.design,Y,Y,15.374,14.984,15.179,17.88,13.968,15.36202174,1.252367514,1.145134226,1.181243161,1.186448375,-0.088450377,0.010113408,-0.017966147,0.02537351,-0.07048423,-0.015260102
MV,NMVR3033,Caniform,Canidae,Canis.mesomelas,Natural,Upper,Right,Shake.tear,Unknown,Laser.design,Y,Y,14.713,14.528,14.62,16.932,13.366,15.72910423,1.22870826,1.126001457,1.164947373,1.19670399,-0.108523584,0.053541084,-0.051792513,0.051907235,-0.056731071,0.001633849
NMNH,NMNH252774,Feliform,Hyaenidae,Crocuta.crocuta,Cast,Upper,Left,Tear,Carrion.bone,Laser.design,Y,Y,15.461,14.498,14.979,23.452,18.816,13.433,1.370179886,1.274527304,1.175482821,1.128173015,-0.007861547,-0.034577467,0.047729813,0.032677815,-0.05559136,-0.067255282
MV,NMVC31515,Marsupial,Dasyuridae,Dasyurus.geoffroii,Natural,Upper,Right,Unknown,Generalist,Laser.design,Y,Y,16.963,14.062,15.512,5.467,4.068,14.859,0.737749074,0.609380944,1.190667796,1.171989583,-0.05802538,0.018585166,0.041017316,-0.00697051,-0.099042696,0.025555676
Monash,MZRC4735,Marsupial,Dasyuridae,Dasyurus.hallucatus,Natural,Upper,Right,Unknown,Generalist,Laser.design,Y,Y,17.588,16.994,17.291,3.92,3.28,15.821,0.593286067,0.515873844,1.237820111,1.199233931,-0.022321338,0.033834657,0.058956627,-0.010913656,-0.081277965,0.044748313
Smithsonian,NMNH580083,Marsupial,Dasyuridae,Dasyurus.maculatus,Cast,Upper,Right,Nape.throat,Meat,Laser.design,Y,Y,14.586,14.397,14.491,7.536,5.407,13.953,0.87714089,0.73295637,1.161098356,1.144667594,-0.058228753,0.015236675,0.02615675,-0.000934212,-0.084385503,0.016170887
Smithsonian,NMNH531160,Marsupial,Didelphidae,Didelphis.albiventris,Cast,Upper,Left,Unknown,Invert.terrestrial,Laser.design,Y,Y,16.587,16.215,16.401,5.002,3.241,14.487,0.699143687,0.510679031,1.214870329,1.16097846,-0.000136289,0.037482794,0.12980391,0.034151483,-0.129940199,0.003331311
Smithsonian,NMNH578961,Marsupial,Didelphidae,Didelphis.marsupialis,Cast,Upper,Right,Unknown,Generalist,Laser.design,Y,Y,14.884,14.884,14.884,5.195,4.311,16.532,0.715585552,0.634578023,1.172719661,1.218325397,0.032853423,0.064987817,0.109699452,0.024417803,-0.076846029,0.040570014
